card_log_number,description,location_name,lower_river_mile,upper_river_mile,Sample Year,sample_datetime,samplers,card_number,position_number,fork_length_cm,poh_length,sex_type_description,mark_types,cwt_bag_number,snout_number,origin_type_description,gilbert_rich,european,card_sequence,species_code,species_description,card_type_description,fishery_type_description,gear_description,otolith_number,dna_number,carcass_tag_number
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,LL/BC,A79061,8,76,,Female,Unmarked,,,,5?,0.4,12-Jul,2,Chum,Regular Card,Unknown,Hatchery Rack,302,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,LL/BC,A79061,9,68,,Female,Unmarked,,,,4?,0.3,12-Jul,2,Chum,Regular Card,Unknown,Hatchery Rack,303,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,LL/BC,A79061,10,72,,Female,Unmarked,,,,4?,0.3,12-Jul,2,Chum,Regular Card,Unknown,Hatchery Rack,304,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,LL/BC,A79061,11,70,,Female,Unmarked,,,,4?,0.3,12-Jul,2,Chum,Regular Card,Unknown,Hatchery Rack,305,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,LL/BC,A79061,12,69,,Female,Unmarked,,,,4?,0.3,12-Jul,2,Chum,Regular Card,Unknown,Hatchery Rack,306,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,LL/BC,A79061,13,73,,Female,Unmarked,,,,4?,0.3,12-Jul,2,Chum,Regular Card,Unknown,Hatchery Rack,307,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,LL/BC,A79061,14,70,,Female,Unmarked,,,,4?,0.3,12-Jul,2,Chum,Regular Card,Unknown,Hatchery Rack,308,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,LL/BC,A79061,15,68,,Female,Unmarked,,,,4?,0.3,12-Jul,2,Chum,Regular Card,Unknown,Hatchery Rack,309,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,LL/BC,A79061,16,72,,Female,Unmarked,,,,4?,0.3,12-Jul,2,Chum,Regular Card,Unknown,Hatchery Rack,310,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,LL/BC,A79061,17,75,,Female,Unmarked,,,,4?,0.3,12-Jul,2,Chum,Regular Card,Unknown,Hatchery Rack,311,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,LL/BC,A79061,18,72,,Female,Unmarked,,,,4?,0.3,12-Jul,2,Chum,Regular Card,Unknown,Hatchery Rack,312,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,LL/BC,A79061,19,68,,Female,Unmarked,,,,,,12-Jul,2,Chum,Regular Card,Unknown,Hatchery Rack,313,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,LL/BC,A79061,20,77,,Female,Unmarked,,,,4?,0.3,12-Jul,2,Chum,Regular Card,Unknown,Hatchery Rack,314,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,LL/KC,A79064,1,73,,Female,Unmarked,,,,5?,0.4,12-Oct,2,Chum,Regular Card,Unknown,Hatchery Rack,341,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,LL/KC,A79064,2,70,,Female,Unmarked,,,,4?,0.3,12-Oct,2,Chum,Regular Card,Unknown,Hatchery Rack,342,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,LL/KC,A79064,3,75,,Female,Unmarked,,,,4?,0.3,12-Oct,2,Chum,Regular Card,Unknown,Hatchery Rack,343,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,LL/KC,A79064,4,77,,Female,Unmarked,,,,4?,0.3,12-Oct,2,Chum,Regular Card,Unknown,Hatchery Rack,344,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,LL/KC,A79064,5,71,,Female,Unmarked,,,,4?,0.3,12-Oct,2,Chum,Regular Card,Unknown,Hatchery Rack,345,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,LL/KC,A79064,6,71,,Female,Unmarked,,,,4?,0.3,12-Oct,2,Chum,Regular Card,Unknown,Hatchery Rack,346,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,LL/KC,A79064,7,76,,Female,Unmarked,,,,4?,0.3,12-Oct,2,Chum,Regular Card,Unknown,Hatchery Rack,347,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,LL/KC,A79064,8,70,,Female,Unmarked,,,,4?,0.3,12-Oct,2,Chum,Regular Card,Unknown,Hatchery Rack,348,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,LL/KC,A79064,9,68,,Female,Unmarked,,,,4?,0.3,12-Oct,2,Chum,Regular Card,Unknown,Hatchery Rack,349,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,LL/KC,A79064,10,64,,Female,Unmarked,,,,4?,0.3,12-Oct,2,Chum,Regular Card,Unknown,Hatchery Rack,350,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,LL/KC,A79064,11,67,,Female,Unmarked,,,,4?,0.3,12-Oct,2,Chum,Regular Card,Unknown,Hatchery Rack,351,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,LL/KC,A79064,12,66,,Female,Unmarked,,,,4?,0.3,12-Oct,2,Chum,Regular Card,Unknown,Hatchery Rack,352,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,LL/KC,A79064,13,74,,Female,Unmarked,,,,4?,0.3,12-Oct,2,Chum,Regular Card,Unknown,Hatchery Rack,353,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,LL/KC,A79064,14,74,,Female,Unmarked,,,,4?,0.3,12-Oct,2,Chum,Regular Card,Unknown,Hatchery Rack,354,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,EJ/BC,A79065,1,75,,Male,Unmarked,,,,4?,0.3,12-Nov,2,Chum,Regular Card,Unknown,Hook & Line,355,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,EJ/BC,A79065,2,69,,Male,Unmarked,,,,3?,0.2,12-Nov,2,Chum,Regular Card,Unknown,Hook & Line,356,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,EJ/BC,A79065,3,74,,Male,Unmarked,,,,4?,0.3,12-Nov,2,Chum,Regular Card,Unknown,Hook & Line,357,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,EJ/BC,A79065,4,73,,Male,Unmarked,,,,4?,0.3,12-Nov,2,Chum,Regular Card,Unknown,Hook & Line,358,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,EJ/BC,A79065,5,68,,Male,Unmarked,,,,4?,0.3,12-Nov,2,Chum,Regular Card,Unknown,Hook & Line,359,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,EJ/BC,A79065,6,63,,Male,Unmarked,,,,4?,0.3,12-Nov,2,Chum,Regular Card,Unknown,Hook & Line,360,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,EJ/BC,A79065,7,75,,Male,Unmarked,,,,3?,0.2,12-Nov,2,Chum,Regular Card,Unknown,Hook & Line,361,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,EJ/BC,A79065,8,76,,Male,Unmarked,,,,4?,0.3,12-Nov,2,Chum,Regular Card,Unknown,Hook & Line,362,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,EJ/BC,A79065,9,76,,Male,Unmarked,,,,4?,0.3,12-Nov,2,Chum,Regular Card,Unknown,Hook & Line,363,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,EJ/BC,A79065,10,84,,Male,Unmarked,,,,4?,0.3,12-Nov,2,Chum,Regular Card,Unknown,Hook & Line,364,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,EJ/BC,A79065,11,72,,Male,Unmarked,,,,4?,0.3,12-Nov,2,Chum,Regular Card,Unknown,Hook & Line,365,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,EJ/BC,A79065,12,75,,Male,Unmarked,,,,4?,0.3,12-Nov,2,Chum,Regular Card,Unknown,Hook & Line,366,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,EJ/BC,A79065,13,77,,Male,Unmarked,,,,4?,0.3,12-Nov,2,Chum,Regular Card,Unknown,Hook & Line,367,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,EJ/BC,A79065,14,62,,Male,Unmarked,,,,3?,0.2,12-Nov,2,Chum,Regular Card,Unknown,Hook & Line,368,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,EJ/BC,A79065,15,74,,Male,Unmarked,,,,4?,0.3,12-Nov,2,Chum,Regular Card,Unknown,Hook & Line,369,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,EJ/BC,A79065,16,81,,Male,Unmarked,,,,4?,0.3,12-Nov,2,Chum,Regular Card,Unknown,Hook & Line,370,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,EJ/BC,A79065,17,74,,Male,Unmarked,,,,3?,0.2,12-Nov,2,Chum,Regular Card,Unknown,Hook & Line,371,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,EJ/BC,A79065,18,70,,Male,Unmarked,,,,4?,0.3,12-Nov,2,Chum,Regular Card,Unknown,Hook & Line,372,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-24,EJ/BC,A79065,19,75,,Male,Unmarked,,,,4?,0.3,12-Nov,2,Chum,Regular Card,Unknown,Hook & Line,373,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-30,BC/LL,A79067,1,76,,Female,Unmarked,,,,4?,0.3,12-Dec,2,Chum,Regular Card,Unknown,Hatchery Rack,374,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-30,BC/LL,A79067,2,72,,Female,Unmarked,,,,4?,0.3,12-Dec,2,Chum,Regular Card,Unknown,Hatchery Rack,375,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-30,BC/LL,A79067,3,69,,Female,Unmarked,,,,4?,0.3,12-Dec,2,Chum,Regular Card,Unknown,Hatchery Rack,376,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-30,BC/LL,A79067,4,66,,Female,Unmarked,,,,4?,0.3,12-Dec,2,Chum,Regular Card,Unknown,Hatchery Rack,377,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-30,BC/LL,A79067,5,72,,Female,Unmarked,,,,4?,0.3,12-Dec,2,Chum,Regular Card,Unknown,Hatchery Rack,378,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-30,BC/LL,A79067,6,62,,Female,Unmarked,,,,4?,0.3,12-Dec,2,Chum,Regular Card,Unknown,Hatchery Rack,379,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-30,BC/LL,A79067,7,76,,Male,Unmarked,,,,4?,0.3,12-Dec,2,Chum,Regular Card,Unknown,Hatchery Rack,380,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-30,BC/LL,A79067,8,75,,Male,Unmarked,,,,4?,0.3,12-Dec,2,Chum,Regular Card,Unknown,Hatchery Rack,381,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-30,BC/LL,A79067,9,73,,Male,Unmarked,,,,4?,0.3,12-Dec,2,Chum,Regular Card,Unknown,Hatchery Rack,382,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-30,BC/LL,A79067,10,67,,Male,Unmarked,,,,3?,0.2,12-Dec,2,Chum,Regular Card,Unknown,Hatchery Rack,383,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-30,BC/LL,A79067,11,69,,Male,Unmarked,,,,3?,0.2,12-Dec,2,Chum,Regular Card,Unknown,Hatchery Rack,384,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-30,BC/LL,A79067,12,66,,Male,Unmarked,,,,4?,0.3,12-Dec,2,Chum,Regular Card,Unknown,Hatchery Rack,385,,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-04,LL,A79014,1,69,,Female,Unmarked,,,,3?,0.2,2,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,521,21JS521,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-04,LL,A79014,2,67,,Male,Unmarked,,,,3?,0.2,2,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,522,21JS522,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-04,LL,A79014,3,77,,Male,Unmarked,,,,4?,0.3,2,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,523,21JS523,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-04,LL,A79014,4,72,,Male,Unmarked,,,,3?,0.2,2,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,524,21JS524,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-04,LL,A79014,5,68,,Male,Unmarked,,,,3?,0.2,2,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,525,21JS525,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-05,LL,A79074,1,72,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,,21JS501,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-05,LL,A79074,2,69,,Male,Unmarked,,,,3?,0.2,1,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,,21JS502,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-05,LL,A79074,3,66,,Male,Unmarked,,,,3?,0.2,1,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,,21JS503,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-08,LL,A79074,4,74,,Male,Unmarked,,,,3?,0.2,1,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,504,21JS504,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-08,LL,A79074,5,75,,Male,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,505,21JS505,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-08,LL,A79074,6,70,,Male,Unmarked,,,,3?,0.2,1,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,506,21JS506,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-08,LL,A79074,7,70,,Male,Unmarked,,,,3?,0.2,1,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,507,21JS507,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-10,LL,A79074,8,74,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,508,21JS508,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-11,LL,A79074,9,70,,Male,Unmarked,,,,3?,0.2,1,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,509,21JS509,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-11,LL,A79074,10,72,,Male,Unmarked,,,,3?,0.2,1,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,510,21JS510,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-11,LL,A79074,11,68,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,511,21JS511,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-11,LL,A79074,12,72,,Male,Unmarked,,,,3?,0.2,1,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,512,21JS512,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-11,LL,A79074,13,68,,Male,Unmarked,,,,3?,0.2,1,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,513,21JS513,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-11,LL,A79074,14,65,,Female,Unmarked,,,,3?,0.2,1,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,514,21JS514,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-11,LL,A79074,15,68,,Female,Unmarked,,,,3?,0.2,1,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,515,21JS515,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-13,LL,A79074,16,70,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,516,21JS516,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-13,LL,A79074,17,64,,Female,Unmarked,,,,3?,0.2,1,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,517,21JS517,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-13,LL,A79074,18,67,,Male,Unmarked,,,,3?,0.2,1,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,518,21JS518,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-13,LL,A79074,19,75,,Male,Unmarked,,,,3?,0.2,1,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,519,21JS519,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-13,LL,A79074,20,67,,Male,Unmarked,,,,3?,0.2,1,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,520,21JS520,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79134,1,71,,Male,Unmarked,,,,4?,0.3,3,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,526,21JS526,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79134,2,68,,Male,Unmarked,,,,3?,0.2,3,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,527,21JS527,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79134,3,63,,Female,Unmarked,,,,3?,0.2,3,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,528,21JS528,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79134,4,63,,Female,Unmarked,,,,3?,0.2,3,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,529,21JS529,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79134,5,64,,Female,Unmarked,,,,3?,0.2,3,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,530,21JS530,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79134,6,65,,Female,Unmarked,,,,3?,0.2,3,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,531,21JS531,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79134,7,70,,Female,Unmarked,,,,3?,0.2,3,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,532,21JS532,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79134,8,67,,Female,Unmarked,,,,4?,0.3,3,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,533,21JS533,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79134,9,73,,Female,Unmarked,,,,4?,0.3,3,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,534,21JS534,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79134,10,68,,Female,Unmarked,,,,3?,0.2,3,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,535,21JS535,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79134,11,70,,Female,Unmarked,,,,3?,0.2,3,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,536,21JS536,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79134,12,72,,Female,Unmarked,,,,3?,0.2,3,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,537,21JS537,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79134,13,64,,Female,Unmarked,,,,3?,0.2,3,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,538,21JS538,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79134,14,66,,Female,Unmarked,,,,3?,0.2,3,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,539,21JS539,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79134,15,72,,Female,Unmarked,,,,3?,0.2,3,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,540,21JS540,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79134,16,64,,Female,Unmarked,,,,3?,0.2,3,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,541,21JS541,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79134,17,67,,Female,Unmarked,,,,3?,0.2,3,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,542,21JS542,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79134,18,70,,Female,Unmarked,,,,3?,0.2,3,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,543,21JS543,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79134,19,62,,Female,Unmarked,,,,4?,0.3,3,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,544,21JS544,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79134,20,65,,Female,Unmarked,,,,3?,0.2,3,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,545,21JS545,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79135,1,72,,Female,Unmarked,,,,5?,0.4,4,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,546,21JS546,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79135,2,71,,Female,Unmarked,,,,4?,0.3,4,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,547,21JS547,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79135,3,66,,Male,Unmarked,,,,3?,0.2,4,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,548,21JS548,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79135,4,68,,Male,Unmarked,,,,3?,0.2,4,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,549,21JS549,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79135,5,72,,Male,Unmarked,,,,3?,0.2,4,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,550,21JS550,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79135,6,77,,Male,Unmarked,,,,4?,0.3,4,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,551,21JS551,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79135,7,85,,Male,Unmarked,,,,4?,0.3,4,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,552,21JS552,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79135,8,82,,Male,Unmarked,,,,4?,0.3,4,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,553,21JS553,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79135,9,74,,Male,Unmarked,,,,3?,0.2,4,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,554,21JS554,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79135,10,74,,Male,Unmarked,,,,3?,0.2,4,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,555,21JS555,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79135,11,76,,Male,Unmarked,,,,3?,0.2,4,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,556,21JS556,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79135,12,79,,Male,Unmarked,,,,4?,0.3,4,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,557,21JS557,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79135,13,66,,Male,Unmarked,,,,3?,0.2,4,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,558,21JS558,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79135,14,70,,Male,Unmarked,,,,3?,0.2,4,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,559,21JS559,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79135,15,64,,Male,Unmarked,,,,3?,0.2,4,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,560,21JS560,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79135,16,69,,Male,Unmarked,,,,3?,0.2,4,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,561,21JS561,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79135,17,70,,Male,Unmarked,,,,3?,0.2,4,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,562,21JS562,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79135,18,87,,Male,Unmarked,,,,4?,0.3,4,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,563,21JS563,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79135,19,68,,Male,Unmarked,,,,3?,0.2,4,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,564,21JS564,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79135,20,78,,Male,Unmarked,,,,3?,0.2,4,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,565,21JS565,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79136,1,74,,Male,Unmarked,,,,3?,0.2,5,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,566,21JS566,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-15,LL,A79136,2,71,,Male,Unmarked,,,,3?,0.2,5,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,,21JS567,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-23,LL,A79137,1,69,,Male,Unmarked,,,,3?,0.2,6,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,568,21JS568,
